duration,month,hour,day_of_week,user_type
7.123116666666666,3,22,Thursday,Subscriber
9.792516666666666,3,22,Thursday,Subscriber
6.632983333333334,3,22,Thursday,Subscriber
7.4047,3,22,Thursday,Subscriber
13.014583333333333,3,22,Thursday,Subscriber
17.0552,3,22,Thursday,Subscriber
11.01165,3,22,Thursday,Subscriber
30.01175,3,21,Thursday,Subscriber
3.6268166666666666,3,21,Thursday,Subscriber
6.592133333333333,3,21,Thursday,Subscriber
16.912316666666666,3,21,Thursday,Customer
4.016983333333333,3,21,Thursday,Subscriber
102.99918333333333,3,21,Thursday,Customer
23.829133333333335,3,21,Thursday,Subscriber
2.4967,3,20,Thursday,Subscriber
2.3892,3,20,Thursday,Subscriber
9.66725,3,20,Thursday,Customer
4.9980166666666666,3,20,Thursday,Subscriber
3.7829166666666665,3,20,Thursday,Subscriber
19.574033333333333,3,20,Thursday,Subscriber
7.23625,3,20,Thursday,Subscriber
37.01566666666667,3,20,Thursday,Subscriber
6.354783333333334,3,19,Thursday,Subscriber
5.219233333333333,3,19,Thursday,Subscriber
12.378933333333332,3,19,Thursday,Subscriber
12.8984,3,19,Thursday,Customer
6.3544833333333335,3,19,Thursday,Subscriber
20.2723,3,19,Thursday,Subscriber
5.163,3,19,Thursday,Subscriber
25.301633333333335,3,19,Thursday,Customer
12.022483333333334,3,19,Thursday,Subscriber
36.015633333333334,3,18,Thursday,Customer
14.834833333333334,3,18,Thursday,Subscriber
17.088533333333334,3,18,Thursday,Subscriber
91.16705,3,18,Thursday,Subscriber
5.482283333333333,3,18,Thursday,Subscriber
8.1566,3,18,Thursday,Subscriber
7.15755,3,18,Thursday,Subscriber
5.2372,3,18,Thursday,Subscriber
17.667316666666668,3,18,Thursday,Subscriber
13.234133333333334,3,18,Thursday,Customer
18.498333333333335,3,18,Thursday,Subscriber
23.231733333333334,3,18,Thursday,Subscriber
13.9926,3,18,Thursday,Subscriber
12.96275,3,18,Thursday,Subscriber
12.164816666666667,3,18,Thursday,Subscriber
17.846783333333335,3,18,Thursday,Subscriber
19.7929,3,18,Thursday,Subscriber
7.606016666666667,3,18,Thursday,Subscriber
12.439383333333334,3,18,Thursday,Subscriber
3.6109333333333336,3,18,Thursday,Subscriber
15.778816666666666,3,17,Thursday,Subscriber
23.06661666666667,3,17,Thursday,Customer
20.3752,3,17,Thursday,Subscriber
10.414516666666668,3,17,Thursday,Subscriber
14.76045,3,17,Thursday,Subscriber
13.5493,3,17,Thursday,Subscriber
20.33485,3,17,Thursday,Subscriber
24.523183333333332,3,17,Thursday,Subscriber
46.153933333333335,3,17,Thursday,Customer
13.705783333333333,3,17,Thursday,Subscriber
6.2716,3,17,Thursday,Subscriber
19.30976666666667,3,17,Thursday,Subscriber
5.753666666666667,3,17,Thursday,Subscriber
8.793583333333334,3,17,Thursday,Subscriber
19.9632,3,17,Thursday,Subscriber
22.836766666666666,3,17,Thursday,Subscriber
5.956766666666667,3,17,Thursday,Subscriber
12.693483333333333,3,17,Thursday,Subscriber
5.083333333333333,3,17,Thursday,Subscriber
12.693516666666667,3,17,Thursday,Subscriber
14.6523,3,17,Thursday,Subscriber
12.656033333333333,3,17,Thursday,Subscriber
5.311683333333334,3,17,Thursday,Subscriber
8.783816666666667,3,17,Thursday,Subscriber
12.2459,3,17,Thursday,Subscriber
9.551566666666666,3,16,Thursday,Subscriber
17.041783333333335,3,16,Thursday,Customer
27.237633333333335,3,16,Thursday,Customer
1.2141666666666666,3,16,Thursday,Subscriber
12.437333333333333,3,16,Thursday,Subscriber
13.625133333333334,3,16,Thursday,Subscriber
5.651533333333333,3,16,Thursday,Subscriber
10.708233333333334,3,16,Thursday,Subscriber
8.116366666666666,3,16,Thursday,Subscriber
28.08685,3,16,Thursday,Subscriber
5.917133333333333,3,16,Thursday,Subscriber
31.0032,3,16,Thursday,Customer
11.339133333333333,3,16,Thursday,Customer
7.241833333333333,3,16,Thursday,Subscriber
12.70905,3,15,Thursday,Customer
7.213016666666666,3,15,Thursday,Subscriber
8.330816666666667,3,15,Thursday,Subscriber
9.990933333333333,3,15,Thursday,Subscriber
6.24825,3,15,Thursday,Subscriber
9.379233333333334,3,15,Thursday,Subscriber
6.252883333333333,3,15,Thursday,Subscriber
4.4040333333333335,3,15,Thursday,Subscriber
51.495216666666664,3,15,Thursday,Customer
2.963,3,15,Thursday,Subscriber
12.582183333333333,3,15,Thursday,Subscriber
21.114566666666665,3,15,Thursday,Subscriber
74.37688333333334,3,14,Thursday,Customer
3.49025,3,14,Thursday,Subscriber
28.922883333333335,3,14,Thursday,Subscriber
5.050633333333334,3,14,Thursday,Subscriber
97.97805,3,14,Thursday,Subscriber
13.820666666666666,3,14,Thursday,Subscriber
4.5662,3,14,Thursday,Subscriber
7.097416666666667,3,14,Thursday,Subscriber
126.64296666666667,3,14,Thursday,Customer
4.61065,3,14,Thursday,Subscriber
7.6886833333333335,3,14,Thursday,Customer
6.828516666666666,3,14,Thursday,Subscriber
23.74375,3,13,Thursday,Customer
15.045583333333333,3,13,Thursday,Subscriber
14.765983333333333,3,13,Thursday,Subscriber
20.63415,3,13,Thursday,Subscriber
8.79905,3,13,Thursday,Subscriber
166.20593333333332,3,13,Thursday,Customer
41.56935,3,13,Thursday,Customer
32.736666666666665,3,13,Thursday,Customer
12.258683333333334,3,13,Thursday,Subscriber
10.0402,3,13,Thursday,Subscriber
4.322283333333333,3,12,Thursday,Subscriber
7.626483333333334,3,12,Thursday,Subscriber
5.588883333333333,3,12,Thursday,Subscriber
12.7354,3,12,Thursday,Subscriber
17.531183333333335,3,12,Thursday,Subscriber
10.957966666666668,3,12,Thursday,Subscriber
170.3365,3,12,Thursday,Customer
150.7699,3,12,Thursday,Customer
8.393566666666667,3,12,Thursday,Customer
20.554983333333332,3,12,Thursday,Subscriber
20.116716666666665,3,12,Thursday,Subscriber
2.606883333333333,3,12,Thursday,Subscriber
126.58925,3,12,Thursday,Customer
21.224616666666666,3,12,Thursday,Subscriber
38.6929,3,12,Thursday,Customer
6.098683333333334,3,11,Thursday,Subscriber
24.0259,3,11,Thursday,Customer
8.820683333333333,3,11,Thursday,Subscriber
3.192,3,11,Thursday,Subscriber
28.673416666666668,3,11,Thursday,Customer
16.542666666666666,3,11,Thursday,Subscriber
103.9823,3,11,Thursday,Customer
16.70625,3,11,Thursday,Customer
6.014983333333333,3,11,Thursday,Subscriber
33.95603333333333,3,11,Thursday,Subscriber
